role,org,cell,salary_mid_usd,firm_rank,firm,firm_grade,why
Security Engineer,Apollo Research,cyber-offensive,210820,2,Barclay Simpson,A,"London-based with live Cyber Security Engineer / Product Security / Security Engineering roles, anchoring the London side of this bi-continental hire."
Security Engineer,Apollo Research,cyber-offensive,210820,3,Code Red Partners,B,Global firm that explicitly places hands-on security engineers for AI-native security orgs — conceptually Apollo's exact profile.
Security Engineer,Apollo Research,cyber-offensive,210820,4,Hamilton Barnes,B,"Global (UK/Europe/North America) cyber recruiter placing security engineers, covering both the SF and London locations."
Alignment Scientist / Engineer,AE Studio,ai-research,210000,1,Axica,A,"Runs a named AI Safety & Alignment practice (interpretability, evaluations, red-teaming) — the exact alignment-research function; remote-global lets its UK base serve this role."
Alignment Scientist / Engineer,AE Studio,ai-research,210000,2,MKS Partners,B,"One of its three domains is RLHF & Alignment research for frontier labs — a direct alignment-scientist match, and remote-global removes the geo concern."
Alignment Scientist / Engineer,AE Studio,ai-research,210000,3,Thayon,A,"Founder-led frontier-AI search placing research scientists and engineers, covering the research+engineering blend of an alignment scientist/engineer."
Alignment Scientist / Engineer,AE Studio,ai-research,210000,4,Lateral Labs,A,"US ML/AI-research search across research and engineering ICs, apt for the LA leg and the applied-alignment engineering side."
Alignment Scientist / Engineer,AE Studio,ai-research,210000,5,Tykhe (Tykhe Inc),B,"California AI/ML boutique whose keywords include AI alignment/safety and RL, placing AI research engineers/scientists — fits the alignment IC profile."
Alignment Research Manager,AE Studio,nonprofit-ops-exec,210000,1,Impact Ops,B,Runs recruitment and operations specifically for AI-safety/alignment nonprofits — the exact ecosystem AE Studio's alignment team sits in; remote/global fits the role.
Alignment Research Manager,AE Studio,nonprofit-ops-exec,210000,2,Scion Executive Search,A,"US nonprofit exec-search placing senior leaders across operations, programs and management — the leadership tier of a research-manager hire."
Alignment Research Manager,AE Studio,nonprofit-ops-exec,210000,3,LeaderFit,A,"Places leadership plus strategic-planning and program functions for mission-driven orgs, matching the strategy/management brief."
Alignment Research Manager,AE Studio,nonprofit-ops-exec,210000,4,Cooper Coleman,B,Retained mission-driven search reaching senior-leadership and chief-of-staff-tier roles where 'alignment' and long-term fit are the screen.
Alignment Research Manager,AE Studio,nonprofit-ops-exec,210000,5,DSG | Koya (Koya Partners),B,Premier mission-driven leadership search that reaches C-suite/senior management for values-driven organizations.
"Engineering Manager, Red Team",FAR AI,cyber-offensive,210000,1,Code Red Partners,B,"Places highly technical hands-on offensive-security leads and builds/scales security teams for AI-native orgs, plus leadership search — right for a red-team engineering manager."
"Engineering Manager, Red Team",FAR AI,cyber-offensive,210000,2,RedBlue Security,A,"Elite offensive boutique (red team, exploit, VR) that also runs security-leadership/CISO search, reaching a hands-on red-team manager; global."
"Engineering Manager, Red Team",FAR AI,cyber-offensive,210000,3,Barclay Simpson,A,Runs Senior Red Team Operator and Penetration Testing Director mandates — the leadership end of offensive — and remote-global scope makes its UK base a non-issue.
"Engineering Manager, Red Team",FAR AI,cyber-offensive,210000,4,Adeptis Group,B,"Global firm placing red teamers and building high-performing offensive teams, with an exec remit that reaches manager level."
"Director, Site Services",Constellation,nonprofit-ops-exec,210000,1,Scion Executive Search,A,SF-headquartered national nonprofit exec-search that explicitly leads COO/operations searches — ideal geography and function for a senior site-services director.
"Director, Site Services",Constellation,nonprofit-ops-exec,210000,2,LeaderFit,A,"Names Operations as a placed function with COO placements for mission-driven orgs, directly matching this operations-leadership role."
"Director, Site Services",Constellation,nonprofit-ops-exec,210000,3,Impact Ops,B,Operations specialist for AI-safety nonprofits — Constellation is exactly that ecosystem; remote/global model serves the SF role.
"Director, Site Services",Constellation,nonprofit-ops-exec,210000,4,Stacy Nelson & Associates,B,SF Bay Area boutique doing nonprofit leadership-level search — on-the-ground geography for this Bay Area directorship.
"Director, Site Services",Constellation,nonprofit-ops-exec,210000,5,Phillips Oppenheim,A,"Nonprofit exec-search that explicitly places COOs (and CFOs), reaching the senior operations-leadership tier."
Machine Learning Engineer,Gray Swan,ai-research,208500,1,Lateral Labs,A,"ML-native search for frontier startups where ML engineering is the core specialty — a direct fit for a Gray Swan MLE, and remote-global scope suits the posting."
Machine Learning Engineer,Gray Swan,ai-research,208500,2,Axica,A,Single-discipline firm that explicitly places machine-learning engineers plus AI-safety/alignment researchers — apt for an MLE at an adversarial-robustness company; remote-global removes the UK-geo concern.
Machine Learning Engineer,Gray Swan,ai-research,208500,3,Thayon,A,Founder-led frontier-AI search placing research engineers and MLEs with named lab pedigree; remote-global scope makes its UK base workable.
Machine Learning Engineer,Gray Swan,ai-research,208500,4,DeepRec.ai,B,"Global AI recruiter with explicit Machine-Learning Research Engineer listings, matching this research/engineering MLE role."
Machine Learning Engineer,Gray Swan,ai-research,208500,5,Vector,B,"US firm that hires ML engineers for early-stage AI companies across research, applied and platform profiles."
Campus Operations Co-Lead,Lightcone Infrastructure,nonprofit-ops-exec,200000,1,Impact Ops,B,Literally runs operations and hiring for AI-safety/rationalist-ecosystem orgs — Lightcone's exact niche — and is the purest operations fit on the bench.
Campus Operations Co-Lead,Lightcone Infrastructure,nonprofit-ops-exec,200000,2,Scion Executive Search,A,SF-based nonprofit search naming operations among its functions — right geography for a Bay Area ops co-lead.
Campus Operations Co-Lead,Lightcone Infrastructure,nonprofit-ops-exec,200000,3,LeaderFit,A,"Explicitly places the Operations function for mission-driven organizations across experience levels, matching this multi-level ops role."
Campus Operations Co-Lead,Lightcone Infrastructure,nonprofit-ops-exec,200000,4,Stacy Nelson & Associates,B,SF Bay Area nonprofit-leadership boutique providing local reach for this campus-operations role.
Campus Operations Co-Lead,Lightcone Infrastructure,nonprofit-ops-exec,200000,5,On-Ramps,B,Social-sector search firm that recruits functional (incl. operations) leadership across the nonprofit sector.
Chief of Staff,Alignment Research Center,nonprofit-ops-exec,200000,1,Impact Ops,B,Operations/hiring partner to AI-safety research nonprofits like ARC — closest ecosystem and functional fit for an ops/management CoS.
Chief of Staff,Alignment Research Center,nonprofit-ops-exec,200000,2,Scion Executive Search,A,SF-headquartered nonprofit exec-search placing senior operations and management leaders — ideal geography for this Bay Area CoS.
Chief of Staff,Alignment Research Center,nonprofit-ops-exec,200000,3,Cooper Coleman,B,Retained mission-driven search that explicitly reaches COO/CFO/chief-of-staff-tier roles — the exact seniority band.
Chief of Staff,Alignment Research Center,nonprofit-ops-exec,200000,4,LeaderFit,A,"Places operations, governance and strategic-planning leadership for mission-driven orgs, matching a CoS's ops/management remit."
Chief of Staff,Alignment Research Center,nonprofit-ops-exec,200000,5,Stacy Nelson & Associates,B,SF Bay Area boutique for nonprofit leadership-level hires — local geography for this role.
Chief of Staff,The AI Policy,nonprofit-ops-exec,200000,1,LeaderFit,A,"Washington DC-headquartered mission-driven search that names Policy, External Affairs, Operations and Strategic Planning as functions — precise geography and function for a DC AI-policy CoS."
Chief of Staff,The AI Policy,nonprofit-ops-exec,200000,2,Scion Executive Search,A,"National nonprofit exec-search placing senior operations/strategy leaders, covering the CoS seniority band."
Chief of Staff,The AI Policy,nonprofit-ops-exec,200000,3,Cooper Coleman,B,Retained mission-driven search reaching chief-of-staff-tier and senior-leadership roles across the sector.
Chief of Staff,The AI Policy,nonprofit-ops-exec,200000,4,NPAG (Nonprofit Professionals Advisory Group),B,"High-volume national nonprofit/foundation exec-search, well-suited to a policy-org leadership hire in DC."
Chief of Staff,The AI Policy,nonprofit-ops-exec,200000,5,Impact Ops,B,"Serves AI safety, alignment and governance nonprofits — The AI Policy's exact domain — via a remote/global model that can reach DC."
Red Team Engineer,Gray Swan,cyber-offensive,200000,1,RedBlue Security,A,"Purest hands-on offensive boutique in the cell (pentest, red team, exploit dev) with a US base and global reach, ideal for a junior red-team IC."
Red Team Engineer,Gray Swan,cyber-offensive,200000,2,Barclay Simpson,A,Genuine dedicated pen-test / Red Team Operator desk; UK-based but reachable for a global-remote role.
Red Team Engineer,Gray Swan,cyber-offensive,200000,3,Code Red Partners,B,"Places hands-on offensive-security engineers and technical leads for AI-native security orgs like Gray Swan, across US and global."
Red Team Engineer,Gray Swan,cyber-offensive,200000,4,Hamilton Barnes,B,Dedicated pen-test and red-teaming/adversary-simulation sub-desk with global (incl. North America) coverage for a hands-on junior.
Senior Software Engineer,GraySwan,ai-research,200000,1,Lateral Labs,A,"AI-native technical search built specifically for ML/AI IC engineering roles at frontier orgs, US-based."
Senior Software Engineer,GraySwan,ai-research,200000,2,Vector,B,"US firm hiring ML and software engineers for early-stage AI startups, matching a mid-level senior SWE."
Senior Software Engineer,GraySwan,ai-research,200000,3,Stellar Search (StellarSearch),B,US AI-startup specialist with a Founding & Product Engineers practice covering senior software hires.
Senior Software Engineer,GraySwan,ai-research,200000,4,Tykhe (Tykhe Inc),B,US boutique placing AI/ML and generalist software engineers for AI startups.
Senior Software Engineer,GraySwan,ai-research,200000,5,Understanding Recruitment,B,"Software-engineering recruiter with a named ML/AI vertical and a US arm (Acceler8), fitting a senior SWE at an AI company."
Head of Finance,MATS Research,nonprofit-ops-exec,190000,1,Phillips Oppenheim,A,"Nonprofit exec-search firm that explicitly places CFO/COO/finance leadership, matching a senior Head of Finance."
Head of Finance,MATS Research,nonprofit-ops-exec,190000,2,Scion Executive Search,A,US nonprofit search with a dedicated CFO/finance-leadership practice and national (Bay Area) reach.
Head of Finance,MATS Research,nonprofit-ops-exec,190000,3,LeaderFit,A,"Purpose-built nonprofit search that names Finance and Operations as functions it fills, an exact match to ops+finance."
Head of Finance,MATS Research,nonprofit-ops-exec,190000,4,Impact Ops,B,"Uniquely runs finance and hiring for AI-safety nonprofits, which is MATS's exact niche, though UK-remote-based rather than SF-local."
Head of Finance,MATS Research,nonprofit-ops-exec,190000,5,OE Consulting (formerly Schaffer&Combs),B,"SF-based firm placing CEO/COO-level leaders with an in-house finance/growth consultant, giving strong local geo fit."
"Specialist, Redteaming, Auditing, and Compliance",SL5 Task Force,cyber-offensive,185000,1,RedBlue Security,A,"Hands-on offensive boutique with a US base, covering the red-team half of this red-team-plus-compliance role."
"Specialist, Redteaming, Auditing, and Compliance",SL5 Task Force,cyber-offensive,185000,2,Code Red Partners,B,"SF-based cybersecurity/defense-tech search placing offensive engineers and broader security-team roles including GRC, a strong local fit."
"Specialist, Redteaming, Auditing, and Compliance",SL5 Task Force,cyber-offensive,185000,3,Adeptis Group,B,"Places pentesters/red teamers alongside GRC across a broad cyber remit with US offices, fitting the audit/compliance angle."
"Specialist, Redteaming, Auditing, and Compliance",SL5 Task Force,cyber-offensive,185000,4,C-Serv,B,"US-staffed firm sourcing cybersecurity and adversarial-ML talent, reaching AI-security red-team profiles."
Recruiter,SL5 TaskForce,nonprofit-ops-exec,185000,1,LeaderFit,A,"Nonprofit search that names People/Talent and Operations as functions, closest to an in-house recruiter / people-ops hire."
Recruiter,SL5 TaskForce,nonprofit-ops-exec,185000,2,Scion Executive Search,A,US nonprofit firm listing HR and operations functions with Bay Area reach.
Recruiter,SL5 TaskForce,nonprofit-ops-exec,185000,3,Impact Ops,B,"Literally runs recruitment for AI-safety nonprofits (e.g. hired an Operations Lead), the exact task-force niche."
Recruiter,SL5 TaskForce,nonprofit-ops-exec,185000,4,Stacy Nelson & Associates,B,"SF Bay Area nonprofit search with recruiter/HR-professional pedigree, giving strong local and functional fit."
Recruiter,SL5 TaskForce,nonprofit-ops-exec,185000,5,On-Ramps,B,US social-sector search and talent consultancy reaching people/talent-ops roles.
"Founding Member, Technical Staff","NeolithicDesign, ship, and maintain open",ai-research,180000,1,Lateral Labs,A,"AI-native technical search for founding/IC engineering at frontier AI orgs, US-based."
"Founding Member, Technical Staff","NeolithicDesign, ship, and maintain open",ai-research,180000,2,Stellar Search (StellarSearch),B,"US AI-startup firm with an explicit Founding & Product Engineers practice, an exact match."
"Founding Member, Technical Staff","NeolithicDesign, ship, and maintain open",ai-research,180000,3,Vector,B,US specialist building founding ML/engineering teams at early-stage AI startups.
"Founding Member, Technical Staff","NeolithicDesign, ship, and maintain open",ai-research,180000,4,Tykhe (Tykhe Inc),B,US boutique placing founding-level AI/ML and software engineers for startups.
"Founding Member, Technical Staff","NeolithicDesign, ship, and maintain open",ai-research,180000,5,Riviera Partners,B,"SF-headquartered firm covering software engineering plus ML/AI (via Lateral Labs), with strong local reach."
Infrastructure Engineer,Intelligence Security Laboratories,cyber-offensive,175000,1,RedBlue Security,A,"Offensive/defensive security-engineering boutique with US cleared/defense (TS/SCI) work, fitting a DC intelligence-lab infra role."
Infrastructure Engineer,Intelligence Security Laboratories,cyber-offensive,175000,2,Code Red Partners,B,"Cybersecurity and defense-technology search firm with US offices, matching the intelligence/defense context."
Infrastructure Engineer,Intelligence Security Laboratories,cyber-offensive,175000,3,Hamilton Barnes,B,"Enterprise-networking/infrastructure heritage plus security engineers with North America coverage, close to an infrastructure-engineer profile."
Infrastructure Engineer,Intelligence Security Laboratories,cyber-offensive,175000,4,C-Serv,B,"US-staffed firm covering cloud & infrastructure and cybersecurity, matching an ops+infosec infra engineer."
Infrastructure Engineer,Intelligence Security Laboratories,cyber-offensive,175000,5,Adeptis Group,B,"Places security, cloud and infrastructure talent with US offices, fitting infrastructure-security engineering."
"Senior Economist, Windfall Research",WindfallTrust,ai-research,175000,1,Burtch Works,B,"US analytics/decision-science recruiter, the closest bench match to a quantitative economist research role."
"Senior Economist, Windfall Research",WindfallTrust,ai-research,175000,2,Harnham,B,"US-present data & AI firm strong in advanced and risk analytics, adjacent to economics research."
"Senior Economist, Windfall Research",WindfallTrust,ai-research,175000,3,Lateral Labs,A,US AI-native research search that reaches research-caliber ICs if WindfallTrust is AI-adjacent.
"Senior Economist, Windfall Research",WindfallTrust,ai-research,175000,4,Understanding Recruitment,B,US ML/AI arm (Acceler8) placing research and data talent for a remote-US research hire.
"Senior Economist, Windfall Research",WindfallTrust,ai-research,175000,5,Codesearch AI,B,"Places researchers across ML and quantitative-finance research, adjacent to an AI-economics researcher."
"Senior Project Manager, Global Dividend Fund",Windfall,nonprofit-ops-exec,175000,1,LeaderFit,A,"Nonprofit search naming Operations and Strategic Planning as functions, matching an ops+strategy PM."
"Senior Project Manager, Global Dividend Fund",Windfall,nonprofit-ops-exec,175000,2,Scion Executive Search,A,"US nonprofit firm covering operations, programs and strategy with remote-US reach."
"Senior Project Manager, Global Dividend Fund",Windfall,nonprofit-ops-exec,175000,3,Impact Ops,B,"Operations specialist for high-impact/AI-adjacent orgs, remote-first, a fit for a fund's ops/strategy PM."
"Senior Project Manager, Global Dividend Fund",Windfall,nonprofit-ops-exec,175000,4,OE Consulting (formerly Schaffer&Combs),B,"Places CEO/COO-level leaders with strategy and org-design depth, matching the strategy angle."
"Senior Project Manager, Global Dividend Fund",Windfall,nonprofit-ops-exec,175000,5,On-Ramps,B,US social-sector search and consulting reaching operations and strategy roles.
Head of People,FAR AI,nonprofit-ops-exec,175000,1,LeaderFit,A,"Nonprofit search that names People/Talent as a function, an exact match to a Head of People."
Head of People,FAR AI,nonprofit-ops-exec,175000,2,Scion Executive Search,A,US nonprofit firm running HR/people-leadership searches with Bay Area and remote-US reach.
Head of People,FAR AI,nonprofit-ops-exec,175000,3,Impact Ops,B,"Runs hiring and ops for AI-safety nonprofits like FAR AI, the exact organizational niche."
Head of People,FAR AI,nonprofit-ops-exec,175000,4,Stacy Nelson & Associates,B,SF Bay Area nonprofit search with HR/people-function pedigree.
Head of People,FAR AI,nonprofit-ops-exec,175000,5,On-Ramps,B,US social-sector search and talent consultancy reaching people-leadership roles.
Standards Researcher,SL5 Task,cyber-offensive,170000,1,RedBlue Security,A,"Boutique that places security/vulnerability researchers, with US reach for an SF role."
Standards Researcher,SL5 Task,cyber-offensive,170000,2,Code Red Partners,B,SF-based AI-native security search reaching research-oriented security roles.
Standards Researcher,SL5 Task,cyber-offensive,170000,3,C-Serv,B,"US-staffed firm sourcing ML researchers and security talent, fitting a security-standards researcher."
Standards Researcher,SL5 Task,cyber-offensive,170000,4,Adeptis Group,B,"Places threat/security-research talent (malware analysis, threat hunting) with US offices."
GenAI Chemical Safety Expert,Alice,cyber-offensive,164000,1,RedBlue Security,A,Offensive/security-research boutique with global reach for the red-teaming component.
GenAI Chemical Safety Expert,Alice,cyber-offensive,164000,2,Code Red Partners,B,AI-native cybersecurity search reaching GenAI red-team and safety-engineering roles globally.
GenAI Chemical Safety Expert,Alice,cyber-offensive,164000,3,C-Serv,B,"Sources adversarial-ML engineers and ML researchers globally, close to GenAI red-team domain work."
GenAI Chemical Safety Expert,Alice,cyber-offensive,164000,4,Hamilton Barnes,B,Global red-teaming/adversary-simulation desk reaching AI-red-team-adjacent talent.
"GenAI Chemical, Biological, Radiological, Nuclear, and Explosives Cyber Expert",Alice,cyber-offensive,164000,1,RedBlue Security,A,"Deep offensive/CNO boutique with global reach, matching the strong cyber emphasis here."
"GenAI Chemical, Biological, Radiological, Nuclear, and Explosives Cyber Expert",Alice,cyber-offensive,164000,2,Barclay Simpson,A,"Genuine Red Team Operator/pen-test desk, reachable for a global-remote cyber role."
"GenAI Chemical, Biological, Radiological, Nuclear, and Explosives Cyber Expert",Alice,cyber-offensive,164000,3,Code Red Partners,B,AI-native cybersecurity and defense-tech search reaching GenAI red-team profiles globally.
"GenAI Chemical, Biological, Radiological, Nuclear, and Explosives Cyber Expert",Alice,cyber-offensive,164000,4,C-Serv,B,Global firm sourcing adversarial-ML and cybersecurity talent for AI red-team work.
GenAI Biosecurity Expert,Alice,cyber-offensive,164000,1,RedBlue Security,A,Offensive/security-research boutique with global reach for the red-teaming component.
GenAI Biosecurity Expert,Alice,cyber-offensive,164000,2,Code Red Partners,B,AI-native security search reaching GenAI red-team and safety roles globally.
GenAI Biosecurity Expert,Alice,cyber-offensive,164000,3,C-Serv,B,"Sources ML researchers and adversarial-ML talent globally, adjacent to GenAI biosecurity red teaming."
GenAI Biosecurity Expert,Alice,cyber-offensive,164000,4,Hamilton Barnes,B,Global red-teaming/adversary-simulation desk reaching AI-red-team-adjacent talent.
Organizing Director,New Movement Organization for AI Regulation,nonprofit-ops-exec,162500,1,Phillips Oppenheim,A,"NY-based nonprofit exec-search firm placing CEOs and senior leaders, fitting a senior (10+ yr) director-level advocacy hire in the US."
Organizing Director,New Movement Organization for AI Regulation,nonprofit-ops-exec,162500,2,Scion Executive Search,A,"National US nonprofit search placing CEOs/EDs and senior program and strategy leaders, right for a US-remote Organizing Director."
Organizing Director,New Movement Organization for AI Regulation,nonprofit-ops-exec,162500,3,LeaderFit,A,"Purpose-built nonprofit search naming ED/CEO plus strategy and program functions, matching this senior organizing-leadership role."
Organizing Director,New Movement Organization for AI Regulation,nonprofit-ops-exec,162500,4,On-Ramps,B,"Established US social-sector search that recruits senior leadership across mission-driven orgs, apt for a movement-org director."
Organizing Director,New Movement Organization for AI Regulation,nonprofit-ops-exec,162500,5,DSG | Koya,B,Premier mission-driven US leadership search reaching C-suite and exec roles for advocacy and social-impact organizations.
Operations Director / Operations Manager,New Movement Organization for AI Regulation,nonprofit-ops-exec,150000,1,Scion Executive Search,A,"Explicitly leads CFO/COO/operations/HR searches for nonprofits, the exact ops/finance function, across the US."
Operations Director / Operations Manager,New Movement Organization for AI Regulation,nonprofit-ops-exec,150000,2,LeaderFit,A,"Names Finance, Operations and People/Talent as placed desks with shown COO placements, matching this operations/legal/finance mandate."
Operations Director / Operations Manager,New Movement Organization for AI Regulation,nonprofit-ops-exec,150000,3,Phillips Oppenheim,A,"Own site cites COO and CFO nonprofit placements, directly on-target for a US operations-director hire."
Operations Director / Operations Manager,New Movement Organization for AI Regulation,nonprofit-ops-exec,150000,4,Impact Ops,B,"Literally runs operations, finance and recruitment for high-impact/AI-safety nonprofits (placed an Operations Lead), uniquely fitting this AI-regulation org's ops director; remote suits the US-remote option."
Operations Director / Operations Manager,New Movement Organization for AI Regulation,nonprofit-ops-exec,150000,5,On-Ramps,B,US social-sector search covering functional leadership including operations for mission-driven organizations.
Research Engineer,FAR AI,ai-research,150000,1,Thayon,A,"Single-discipline frontier-AI search placing research and inference engineers hands-on, the exact function for a research engineer."
Research Engineer,FAR AI,ai-research,150000,2,Axica,A,"Dedicated research-scientist and alignment/interpretability/red-teaming practices, matching FAR AI's safety-research bent."
Research Engineer,FAR AI,ai-research,150000,3,Lateral Labs,A,"Built for ML/AI research IC roles at frontier labs, with SF reach for the Bay Area option."
Research Engineer,FAR AI,ai-research,150000,4,DeepRec.ai,B,"Live hands-on research-engineer and research-scientist listings, fitting a global-remote research-engineer hire."
Research Engineer,FAR AI,ai-research,150000,5,Codesearch AI,B,"Posts Staff/Principal research-engineer mandates feeding top labs, reaching this population globally."
"Economist, Scenarios and Modelling",Windfall Trust,,,1,Burtch Works,B,"US data-science and decision-sciences recruiter reaching quantitative and modelling researchers, matching a remote-USA research economist."
"Economist, Scenarios and Modelling",Windfall Trust,,,2,Harnham,B,"Global data & AI firm with advanced-analytics and risk-analytics desks placing quantitative modellers, with US reach."
"Economist, Scenarios and Modelling",Windfall Trust,,,3,Codesearch AI,B,"Carries a systematic/quantitative-finance research vertical reaching economics and modelling researchers, globally."
"Economist, Scenarios and Modelling",Windfall Trust,,,4,MKS Partners,B,Quant-research plus frontier-AI intersection that reaches economics and scenario-modelling researchers.
"Economist, Scenarios and Modelling",Windfall Trust,,,5,Understanding Recruitment,B,ML/AI and data-science vertical (US arm Acceler8) reaching quantitative research talent in the US.
Software Engineer,Gray Swan,ai-research,147500,1,Lateral Labs,A,"Built for engineering ICs (including infrastructure and engineering) at frontier AI startups, US-based for a remote-USA hire."
Software Engineer,Gray Swan,ai-research,147500,2,Vector,B,"Places ML engineers and ML-platform/product engineers for early-stage AI startups in the US, fitting an AI-startup software engineer."
Software Engineer,Gray Swan,ai-research,147500,3,Stellar Search,B,Places founding and product engineers plus applied AI/ML at early-stage US AI startups.
Software Engineer,Gray Swan,ai-research,147500,4,Tykhe,B,US AI/ML startup search that also places engineering (front/back-end) ICs.
Software Engineer,Gray Swan,ai-research,147500,5,Understanding Recruitment,B,"Large software-engineering recruiter with a dedicated ML/AI vertical and US arm, apt for a junior SWE at an AI firm."
Headhunting Product Specialist,"80,000 Hours",ai-research,146000,1,Understanding Recruitment,B,"Software-engineering recruiter with an ML/AI vertical spanning UK and US, fitting a software-engineering-led product role."
Headhunting Product Specialist,"80,000 Hours",ai-research,146000,2,Vector,B,"Explicitly builds ML-informed product teams, matching a product specialist with software-engineering skills."
Headhunting Product Specialist,"80,000 Hours",ai-research,146000,3,Stellar Search,B,Places founding/product engineers and product roles at AI-mission startups.
Headhunting Product Specialist,"80,000 Hours",ai-research,146000,4,Codesearch AI,B,"Places engineers and leaders across applied AI in multiple regions, covering the London option."
Headhunting Product Specialist,"80,000 Hours",ai-research,146000,5,Lateral Labs,A,"Places engineering and product ICs for AI organizations, strong for the SF Bay location."
"Technical Advisor, Fine-Tuning and Evals",Mycelium,ai-research,145000,1,Axica,A,"Named AI Safety & Alignment practice covering evaluations and red-teaming, the exact match for a fine-tuning/evals technical advisor."
"Technical Advisor, Fine-Tuning and Evals",Mycelium,ai-research,145000,2,Lateral Labs,A,"Places ML/AI research ICs including post-training work at frontier labs, with SF reach for the Bay Area option."
"Technical Advisor, Fine-Tuning and Evals",Mycelium,ai-research,145000,3,Thayon,A,Frontier-AI research and engineer search reaching the fine-tuning/research population globally.
"Technical Advisor, Fine-Tuning and Evals",Mycelium,ai-research,145000,4,Vector,B,"Explicitly places research/research-engineering including pre/post-training and evaluation methodology, matching fine-tuning plus evals."
"Technical Advisor, Fine-Tuning and Evals",Mycelium,ai-research,145000,5,MKS Partners,B,"RLHF/alignment research desk for frontier labs, directly relevant to fine-tuning and evals."
Executive Business Partner,Safe AI Forum,nonprofit-ops-exec,142863,1,Impact Ops,B,"Runs operations and recruitment for AI-safety nonprofits (Safe AI Forum's exact niche) and covers UK plus remote, ideal for a junior operations/EA hire."
Executive Business Partner,Safe AI Forum,nonprofit-ops-exec,142863,2,Scion Executive Search,A,Names operations as a placed nonprofit function and covers the SF Bay location.
Executive Business Partner,Safe AI Forum,nonprofit-ops-exec,142863,3,LeaderFit,A,"Names Operations and People/Talent desks for mission-driven orgs, reaching this operational role in the US."
Executive Business Partner,Safe AI Forum,nonprofit-ops-exec,142863,4,Prospectus,B,"UK not-for-profit recruiter placing across all departments including operations, covering the London/UK locations at non-exec levels."
Executive Business Partner,Safe AI Forum,nonprofit-ops-exec,142863,5,Harris Hill,B,"Large UK charity recruiter placing by function including operations, apt for the London side of this role."
Office and Events Manager,SL5 TaskForce,nonprofit-ops-exec,140000,1,Scion Executive Search,A,"San Francisco-headquartered national nonprofit search naming operations as a placed function, fitting this SF ops role."
Office and Events Manager,SL5 TaskForce,nonprofit-ops-exec,140000,2,LeaderFit,A,"Names Operations and People desks for mission-driven orgs, reaching an operational office/events hire."
Office and Events Manager,SL5 TaskForce,nonprofit-ops-exec,140000,3,Stacy Nelson & Associates,B,"SF Bay Area nonprofit recruiter, a local geographic fit for this on-site SF role."
Office and Events Manager,SL5 TaskForce,nonprofit-ops-exec,140000,4,OE Consulting,B,"SF Bay Area org-effectiveness and talent firm for nonprofits/philanthropy, local for an on-site operations hire."
Office and Events Manager,SL5 TaskForce,nonprofit-ops-exec,140000,5,On-Ramps,B,US social-sector recruiter covering operational and functional roles for mission-driven organizations.
IT and Security Specialist,Epoch AI,cyber-offensive,140000,1,RedBlue Security,A,"Global security boutique placing hands-on offensive and defensive security engineers, apt for a remote infosec IC at an AI lab."
IT and Security Specialist,Epoch AI,cyber-offensive,140000,2,Hamilton Barnes,B,"Global desk placing security engineers, SOC and cloud/DevSecOps talent, matching a generalist IT-and-security specialist."
IT and Security Specialist,Epoch AI,cyber-offensive,140000,3,Adeptis Group,B,"Places across security, cloud and infrastructure (incident response, cloud security), the right breadth for an IT/security generalist; global."
IT and Security Specialist,Epoch AI,cyber-offensive,140000,4,C-Serv,B,"Broad tech staffing spanning cybersecurity, cloud and IT infrastructure, fitting a single remote IT-and-security hire globally."
IT and Security Specialist,Epoch AI,cyber-offensive,140000,5,Code Red Partners,B,"Places hands-on security engineers for AI-native security orgs, relevant to an AI research organization's infosec role; global."
"Research Engineer, AI Safety and Evals",AndonLabs,ai-research,140000,1,Lateral Labs,A,"Built for ML/AI research ICs at frontier labs, US/SF-based for this on-site SF role."
"Research Engineer, AI Safety and Evals",AndonLabs,ai-research,140000,2,Vector,B,"Places research/research-engineering with an explicit evaluation-methodology focus, matching a safety-evals research engineer; US."
"Research Engineer, AI Safety and Evals",AndonLabs,ai-research,140000,3,Tykhe,B,"Fremont/SF-Bay AI/ML search placing research engineers and trust-&-safety talent, a local fit with safety relevance."
"Research Engineer, AI Safety and Evals",AndonLabs,ai-research,140000,4,Stellar Search,B,Runs a Research Engineers & Scientists practice for high-bar AI startups with US/SF reach.
"Research Engineer, AI Safety and Evals",AndonLabs,ai-research,140000,5,Axica,A,"Dedicated AI-safety/evaluations/red-teaming research practice, the strongest evals-function fit despite a UK base (frontier-AI recruiting is cross-border)."
"Engineer, Robotics and Hardware",AndonLabs,ai-research,140000,1,Codesearch AI,B,"Names Robotics & Autonomous Systems as a core vertical, a direct robotics fit with US reach."
"Engineer, Robotics and Hardware",AndonLabs,ai-research,140000,2,DeepRec.ai,B,"Names Robotics & Embodied AI as a discipline, directly matching a robotics/hardware engineer; global/US."
"Engineer, Robotics and Hardware",AndonLabs,ai-research,140000,3,Lateral Labs,A,"Places engineering ICs (including infrastructure and engineering) for AI startups, US/SF for this on-site role."
"Engineer, Robotics and Hardware",AndonLabs,ai-research,140000,4,Tykhe,B,"Fremont/SF-Bay AI/ML plus engineering search, a local fit for an on-site SF hardware role."
