icp_category,supply_cell,salary_mid_usd,title,org,location,experience,salary_text,role_type,posted,skills,icp_reason,description,source
A,nonprofit-ops-exec,135000,"Associate, AI and Advanced Computing",SchmidtSciences,"New York, NY, USA",Junior (1–4 years experience),"$120,000 – $150,000",Full-time,25 August 2026,Operations,"real vacancy, $135,000 mid, market exists (nonprofit-ops-exec)",Support Schmidt Sciences' AI Center grantmaking programs by managing the grant lifecycle.,aisafety.com
A,cyber-offensive,133500,"Team Lead, GenAI Safety",Alice,"New York, NY, USA",Mid (5–9 years experience),"$127,000 – $140,000",Full-time,30 July 2026,"Research, Management, Information security","real vacancy, $133,500 mid, market exists (cyber-offensive)",Lead a multidisciplinary team conducting adversarial testing and risk evaluations to strengthen AI model safety.,aisafety.com
A,nonprofit-ops-exec,132500,Executive Assistant to Jeffrey Ladish,Palisade Research,"San Francisco Bay Area, USA",Junior (1–4 years experience),"$110,000 – $155,000",Full-time,31 August 2026,Operations,"real vacancy, $132,500 mid, market exists (nonprofit-ops-exec)","Support Jeffrey Ladish with communications to public audiences, briefing policymakers, and planning initiatives to prevent loss of control to AI.",aisafety.com
A,nonprofit-ops-exec,132500,Senior Digital Manager,New Movement Organization for AI Regulation,"New York, NY, USARemote (USA)",Mid (5–9 years experience),"$120,000 – $145,000",Full-time,17 August 2026,"Communications, Management","real vacancy, $132,500 mid, market exists (nonprofit-ops-exec)","Build and manage email, SMS, and social media programs to mobilize grassroots AI advocacy.",aisafety.com
A,ai-research,101600,Principal Engineer,AI Whistleblower Initiative,"London, UK",Senior (10+ years experience),"£70,000 – £90,000",Full-time,25 August 2026,Software engineering,"real vacancy, $101,600 mid, market exists (ai-research)","Own all of AIWI's technology infrastructure, from architecture and deployment to security and maintenance.",aisafety.com
A,ai-research,0,"Senior Data Scientist, Safety",Faculty,"London, UK","Mid (5–9 years experience), Senior (10+ years experience)",,Full-time,28 August 2026,"Research, Software engineering","real vacancy, $0 mid, market exists (ai-research)",Lead high-impact AI safety projects and shape technical direction of upstream evaluation standards.,aisafety.com
A,nonprofit-ops-exec,0,"Head of Programme, Security and Technology","United Nations, Institute for Disarmamen","Geneva, Switzerland",Senior (10+ years experience),,Full-time,28 August 2026,"Policy, Management","real vacancy, $0 mid, market exists (nonprofit-ops-exec)",,aisafety.com
A,nonprofit-ops-exec,0,"Senior Manager, Talent Acquisition",LawZero,"Montreal, Canada",Senior (10+ years experience),,Full-time,27 August 2026,"Operations, Management","real vacancy, $0 mid, market exists (nonprofit-ops-exec)",Lead talent acquisition strategy and manage a growing team to attract global AI and research talent.,aisafety.com
A,ai-research,0,Head of Biology,GraySwan,Remote (USA),"Mid (5–9 years experience), Senior (10+ years experience)",,Full-time,25 August 2026,"Research, Strategy","real vacancy, $0 mid, market exists (ai-research)","Work on AI security, uncovering hard problems at the frontier and turning insights into real-world solutions.",aisafety.com
A,cyber-offensive,0,Senior AI Red Team Engineer,"Carnegie Mellon University, Software Engineering InstituteRe","Pittsburgh, PA, USAWashington, DC metro area, USA","Mid (5–9 years experience), Senior (10+ years experience)",,Full-time,21 August 2026,"Software engineering, Information security","real vacancy, $0 mid, market exists (cyber-offensive)","d team real-world AI-enabled systems used in national security contexts, combining offensive cyber expertise with AI security knowledge.",aisafety.com
A,nonprofit-ops-exec,0,"Managing Director, Europe",PourDemain,"Brussels, Belgium","Mid (5–9 years experience), Senior (10+ years experience)",,Full-time,11 August 2026,"Strategy, Operations, Management","real vacancy, $0 mid, market exists (nonprofit-ops-exec)","Lead Pour Demain Europe's growth from 5 to 10+ staff, designing systems and structures for agility at scale.",aisafety.com
A,cyber-offensive,0,Senior AI Security Researcher,"Carnegie Mellon University, Software EngineeringInstitute","Pittsburgh, PA, USA","Mid (5–9 years experience), Senior (10+ years experience)",,Full-time,4 August 2026,"Research, Information security","real vacancy, $0 mid, market exists (cyber-offensive)",Conduct research on AI system vulnerabilities and develop methodologies to advance AI security.,aisafety.com
A,nonprofit-ops-exec,0,Head of Operations,BlueDot Impact,"London, UK / San Francisco, USA",senior,,permanent,,,"Verified-open, clearly senior nonprofit operations leadership role at a well-funded employer, squarely in the nonprofit-ops recruiter supply market with no fee-closure signal.","Lead operational scaling of BlueDot from 8 to 25+ staff at a nonprofit that just raised $25M, with salaries benchmarked to SF tech rates.",80k-orgpage
B,ai-research,600000,"Research Scientist, Takeoff Intel",Anthropic,"San Francisco Bay Area, USANew York, NY, USA","Junior (1–4 years experience), Mid (5–9 years experience)","$350,000 – $850,000",Full-time,4 August 2026,"Research, Software engineering","frontier lab - in-house talent teams, agency-selective",Identify key signals tracking AI R&D acceleration and design evaluations that measure recursive self-improvement in large models.,aisafety.com+80k-orgpage
B,cyber-offensive,587500,"Lead, Frontier Red Team, Cyber",Anthropic,"San Francisco Bay Area, USA",senior,$485-690k,permanent,,,"Prime offensive-security leadership role with deep recruiter supply, but frontier lab defaults to B.",Leads offensive-cyber red teaming of frontier models.,80k-orgpage
B,ai-research,490000,"Research Engineer / Scientist, Alignment Science, London",Anthropic,"London, UK",mid,£225-500k,permanent,,,"Very high-paid AI research vacancy, but frontier lab defaults to B.",Alignment science research engineering in London.,80k-orgpage
B,cyber-offensive,445000,"Software Security Engineering Manager, Secure Frameworks",Anthropic,"San Francisco Bay Area, USASeattle metro area, USA",Mid (5–9 years experience),"$405,000 – $485,000",Full-time,15 July 2026,"Information security, Software engineering, Management","frontier lab - in-house talent teams, agency-selective","Lead the Secure Frameworks Research team, designing security frameworks and libraries that prevent entire classes of vulnerabilities.",aisafety.com+80k-orgpage
B,cyber-offensive,445000,Staff Software Security Engineer,Anthropic,"San Francisco Bay Area, USA",senior,$405-485k,permanent,,,"High-paid senior security vacancy with recruiter supply, but frontier lab defaults to B.",Staff-level software security engineering.,80k-orgpage
B,ai-research,437500,"Research Scientist, Interpretability",Anthropic,"San Francisco Bay Area, USA",junior,$315-560k,permanent,,,"High-paid AI research vacancy, but frontier lab defaults to B.",Research scientist in mechanistic interpretability.,80k-orgpage
B,ai-research,437500,"Research Engineer, Interpretability",Anthropic,"San Francisco Bay Area, USA",senior,$315-560k,permanent,,,"High-paid AI research engineering, but frontier lab defaults to B.",Research engineering for interpretability.,80k-orgpage
B,ai-research,425000,"Machine Learning Infrastructure Engineer, Safeguards Research",Anthropic,"San Francisco Bay Area, USANew York, NY, USA",Mid (5–9 years experience),"$350,000 – $500,000",Full-time,22 July 2026,Software engineering,"frontier lab - in-house talent teams, agency-selective",Build and maintain the infrastructure and data pipelines supporting Safeguards machine learning research.,aisafety.com+80k-orgpage
B,cyber-offensive,418500,Offensive Security Agent Engineer,OpenAI,"Remote, USA",senior,$347-490k,permanent,,,"Prime offensive-security engineering role, but frontier lab defaults to B.",Builds offensive-security AI agents.,80k-orgpage
B,cyber-offensive,415000,"Threat Intelligence Manager, Chemical, Biological, Radiological, Nuclear, and Explosives and Advanced Weapons",Anthropic,"San Francisco Bay Area, USA",senior,$375-455k,permanent,,,"Senior threat-intel role with an infosec recruiter market, but frontier lab defaults to B.",Senior manager for CBRNE threat intelligence.,80k-orgpage
B,cyber-offensive,410000,"Security Engineer, Agent Security",OpenAI,"San Francisco, USA",mid,$325-495k,permanent,,,"High-paid cyber vacancy with recruiter supply, but frontier lab defaults to B.",Security engineering for AI agents.,80k-orgpage
B,cyber-offensive,405000,Platform Hardware Security,Anthropic,"San Francisco Bay Area, USA",mid,$405k,permanent,,,"High-paid hardware security vacancy with recruiter supply, but frontier lab defaults to B.",Hardware/platform security engineering.,80k-orgpage
B,cyber-offensive,402500,"Software Engineer, Infrastructure, Interpretability",Anthropic,"San Francisco Bay Area, USANew York, NY, USA",Mid (5–9 years experience),"$320,000 – $485,000",Full-time,13 August 2026,"Software engineering, Information security","frontier lab - in-house talent teams, agency-selective",Build infrastructure that enables interpretability researchers to access frontier models securely and with low friction.,aisafety.com+80k-orgpage
B,ai-research,402500,"Software Engineer, Safeguards Evaluations",Anthropic,"San Francisco Bay Area, USA",mid,$320-485k,permanent,,,"Well-paid AI engineering vacancy, but frontier lab defaults to B.",Builds evaluation tooling for Safeguards.,80k-orgpage
B,cyber-offensive,389000,"Data Scientist, Cybersecurity",OpenAI,"Remote, USA",mid,$263-515k,permanent,,,"High-paid cyber/data vacancy with recruiter supply, but frontier lab defaults to B.",Data science for cybersecurity problems.,80k-orgpage
B,ai-research,385000,"Researcher, Safety Oversight",OpenAI,"San Francisco, USA",mid,$310-460k,permanent,,,"High-paid AI research vacancy, but frontier lab defaults to B.",Research on safety oversight of models.,80k-orgpage
B,ai-research,385000,"Researcher, Robustness and Safety Training, Safety Systems",OpenAI,"San Francisco, USA",unknown,$310-460k,permanent,,,"High-paid AI research vacancy, but frontier lab defaults to B.",Research on robustness and safety training.,80k-orgpage
B,cyber-offensive,384000,"Principal Software Engineer, Infrastructure Security",OpenAI,"San Francisco, USA",senior,~$278-490k,permanent,,,"Senior, high-paid security vacancy with recruiter supply, but frontier lab defaults to B.",Principal engineer for infrastructure security.,80k-orgpage
B,ai-research,382500,"Research Manager, Interpretability",Anthropic,"San Francisco Bay Area, USA",mid,$340-425k,permanent,,,"High-paid AI research management with recruiter supply, but frontier lab defaults to B.",Manages an interpretability research team.,80k-orgpage
B,ai-research,373500,"Data Scientist, Preparedness",OpenAI,"San Francisco, USA",unknown,$347-400k,permanent,,,"High-paid AI/data vacancy, but frontier lab defaults to B.",Data science for the Preparedness team.,80k-orgpage
B,ai-research,370000,"Researcher, Recursive Self-Improvement Safety",OpenAI,"San Francisco, USA",mid,$295-445k,permanent,,,"High-paid AI research vacancy, but frontier lab defaults to B.",Safety research on recursive self-improvement.,80k-orgpage
B,cyber-offensive,370000,"Researcher, Frontier Cybersecurity Risks",OpenAI,"San Francisco, USA",unknown,$295-445k,permanent,,,"High-paid cyber research vacancy, but frontier lab defaults to B.",Research on frontier cybersecurity risks of models.,80k-orgpage
B,ai-research,367500,"Researcher, Alignment",OpenAI,"San Francisco, USA",junior,$295-440k,permanent,,,"High-paid AI research vacancy, but frontier lab defaults to B.",Alignment research.,80k-orgpage
B,cyber-offensive,362500,Head of Vulnerability Disclosure and Security Community,Anthropic,"San Francisco Bay Area, USANew York, NY, USAWashington, DC metro area, USA","Mid (5–9 years experience), Senior (10+ years experience)","$330,000 – $395,000",Full-time,27 August 2026,Information security,"frontier lab - in-house talent teams, agency-selective","Own and operate Anthropic's public, coordinated-disclosure jailbreak program end-to-end.",aisafety.com+80k-orgpage
B,ai-research,362500,"Data Engineer, Safeguards",Anthropic,"San Francisco Bay Area, USA",mid,$320-405k,permanent,,,"AI/data engineering vacancy with recruiter supply, but frontier lab defaults to B.",Data engineering for the Safeguards team.,80k-orgpage
B,cyber-offensive,362500,Senior Software Security Engineer,Anthropic,"San Francisco Bay Area, USA",mid,$320-405k,permanent,,,"Well-paid security engineering with recruiter supply, but frontier lab defaults to B.",Senior software security engineering.,80k-orgpage
B,cyber-offensive,362500,"Security Engineer, Detection Platform Infrastructure",Anthropic,"San Francisco Bay Area, USA",mid,$320-405k,permanent,,,"Well-paid cyber vacancy with recruiter supply, but frontier lab defaults to B.",Builds detection platform infrastructure.,80k-orgpage
B,cyber-offensive,362500,"Software Engineer, Cybersecurity Products",Anthropic,"San Francisco Bay Area, USA",mid,$320-405k,permanent,,,"Well-paid cyber engineering vacancy, but frontier lab defaults to B.",Builds cybersecurity-focused products.,80k-orgpage
B,cyber-offensive,355500,"Systems Software Engineer, Security, First Party Hardware",OpenAI,"San Francisco, USA",mid,$266-445k,permanent,,,"Well-paid security engineering vacancy, but frontier lab defaults to B.",Systems security engineering for first-party hardware.,80k-orgpage
B,cyber-offensive,352500,"Security Engineer, Detection and Response",Anthropic,"San Francisco Bay Area, USA",mid,$300-405k,permanent,,,"Well-paid cyber vacancy with deep recruiter supply, but frontier lab defaults to B.",Detection and response security engineering.,80k-orgpage
B,cyber-offensive,352500,Application Security Engineer,Anthropic,"San Francisco Bay Area, USA",mid,$300-405k,permanent,,,"Well-paid appsec vacancy with deep recruiter supply, but frontier lab defaults to B.",Application security engineering.,80k-orgpage
B,ai-research,352500,"Research Engineer, Cybersecurity RL",Anthropic,"San Francisco Bay Area, USA",mid,$300-405k,permanent,,,"AI-ML research engineering vacancy, but frontier lab defaults to B.",RL research engineering applied to cybersecurity.,80k-orgpage
B,cyber-offensive,349000,"Security Researcher, Agentic AI Threats",OpenAI,"San Francisco, USA",junior,$293-405k,permanent,,,"Well-paid security research vacancy, but frontier lab defaults to B.",Security research on agentic AI threats.,80k-orgpage
B,cyber-offensive,349000,"Security Preparedness Lead, Coding Agents",OpenAI,"San Francisco, USA",mid,$293-405k,permanent,,,"Well-paid security leadership vacancy, but frontier lab defaults to B.",Leads security preparedness for coding agents.,80k-orgpage
B,cyber-offensive,349000,"Security Engineer, Infrastructure Security",OpenAI,"San Francisco, USA",mid,~$293-405k,permanent,,,"Well-paid cyber vacancy with recruiter supply, but frontier lab defaults to B.",Infrastructure security engineering.,80k-orgpage
B,cyber-offensive,349000,"Software Engineer, Infrastructure Security",OpenAI,"San Francisco, USA",mid,~$293-405k,permanent,,,"Well-paid security engineering vacancy, but frontier lab defaults to B.",Software engineering for infrastructure security.,80k-orgpage
B,ai-research,347500,"Researcher, Alignment Chain of Thought Monitorability",OpenAI,"San Francisco, USA",mid,$250-445k,permanent,,,"High-paid AI research vacancy, but frontier lab defaults to B.",Alignment research on chain-of-thought monitorability.,80k-orgpage
B,none,345000,"Product Manager, Safeguards",Anthropic,"San Francisco Bay Area, USA",mid,$305-385k,permanent,,,Real high-paid vacancy but product management is outside the desk's listed supply cells and frontier lab defaults to B.,Product manager for the Safeguards product area.,80k-orgpage
B,cyber-offensive,345000,Security Controls Assurance Lead,Anthropic,"San Francisco Bay Area, USA",senior,$345k,permanent,,,"Senior security assurance vacancy with recruiter supply, but frontier lab defaults to B.",Leads security controls assurance.,80k-orgpage
B,cyber-offensive,332500,"Security Engineer, Insider Threat Detection and Response",OpenAI,"San Francisco, USA",unknown,$260-405k,permanent,,,"Well-paid cyber vacancy with recruiter supply, but frontier lab defaults to B.",Insider threat detection and response engineering.,80k-orgpage
B,cyber-offensive,330000,"Security Engineer, Detection and Response, UK",OpenAI,"London, UK",mid,$255-405k,permanent,,,"Well-paid cyber vacancy with recruiter supply, but frontier lab defaults to B.",Detection and response security engineering in the UK.,80k-orgpage
B,cyber-offensive,327500,"Technical Program Manager, Security",Anthropic,"San Francisco Bay Area, USA",mid,$290-365k,permanent,,,"Well-paid security-adjacent vacancy, but TPM supply is thinner and frontier lab defaults to B.",TPM for security programmes.,80k-orgpage
B,cyber-offensive,315000,"Security Engineer, Application Security, Seattle",OpenAI,"Seattle, USA",unknown,$245-385k,permanent,,,"Well-paid appsec vacancy with recruiter supply, but frontier lab defaults to B.",Application security engineering in Seattle.,80k-orgpage
B,cyber-offensive,315000,"Security Engineer, Application Security",OpenAI,"San Francisco, USA",unknown,$245-385k,permanent,,,"Well-paid appsec vacancy with recruiter supply, but frontier lab defaults to B.",Application security engineering.,80k-orgpage
B,cyber-offensive,307500,Senior Cyber Policy Lead,Anthropic,"Washington, DC metro area, USA",Senior (10+ years experience),"$285,000 – $330,000",Full-time,26 August 2026,Information security,"frontier lab - in-house talent teams, agency-selective",Lead governance of Anthropic's cyber-relevant model access and serve as the primary policy interface with government and regulatory stakeholders.,aisafety.com+80k-orgpage
B,ai-research,307500,"Safeguards Enforcement Analyst, Violence and Extremism",Anthropic,"Remote (USA)San Francisco Bay Area, USANew York, NY, USAWashington, DC metro area, USA",Mid (5–9 years experience),"$285,000 – $330,000",Full-time,27 July 2026,"Software engineering, Other","frontier lab - in-house talent teams, agency-selective",Build workflows to assess AI model behavior and identify misuse attempts in violence and extremism.,aisafety.com+80k-orgpage
B,cyber-offensive,275000,Insider Risk Investigator,Anthropic,"New York, NY, USAWashington, DC metro area, USABoston metro area, USA",Mid (5–9 years experience),"$245,000 – $305,000",Full-time,6 August 2026,Information security,"frontier lab - in-house talent teams, agency-selective",Conduct insider risk investigations protecting Anthropic's critical assets through technical and human intelligence.,aisafety.com+80k-orgpage
B,ai-research,265000,"Safeguards Enforcement Analyst, Radiological and Nuclear Harms",Anthropic,"San Francisco Bay Area, USANew York, NY, USAWashington, DC metro area, USA",Mid (5–9 years experience),"$245,000 – $285,000",Full-time,4 August 2026,"Strategy, Research","frontier lab - in-house talent teams, agency-selective",Enforce policies protecting against AI misuse for radiological and nuclear harms and investigate violations.,aisafety.com+80k-orgpage
B,biosecurity-science,265000,"Safeguards Enforcement Analyst, Bio Harms",Anthropic,"San Francisco Bay Area, USA",senior,$245-285k,permanent,,,"Real well-paid vacancy touching biosecurity expertise, but thin market and frontier lab default to B.",Enforcement analyst covering biological misuse of models.,80k-orgpage
B,biosecurity-science,265000,"Research Scientist, Biological Safety",Anthropic,"San Francisco Bay Area, USA",mid,$245-285k,permanent,,,"Biosecurity science vacancy above the salary bar, but frontier lab defaults to B.",Research scientist on biological safety risks of models.,80k-orgpage
B,nonprofit-ops-exec,264000,"Director, Community Growth",Centre for Effective Altruism,"Remote, Global",senior,$264k,permanent,,,"Genuine executive-salary vacancy at $264k, but the function is community/fieldbuilding growth where recruiter supply is thin, so torn between A and B it goes to B.",Director-level leader for growing the effective altruism community.,80k-orgpage
B,cyber-offensive,260000,"Technical Threat Investigator, Chemical, Biological, Radiological, Nuclear, and Explosives",Anthropic,"San Francisco Bay Area, USA",mid,$230-290k,permanent,,,"Threat-investigation vacancy with an infosec-adjacent market, but frontier lab defaults to B.",Technical investigator for CBRNE misuse threats.,80k-orgpage
B,cyber-offensive,260000,Technical Cyber Threat Investigator,Anthropic,"San Francisco Bay Area, USA",mid,$230-290k,permanent,,,"Cyber threat-intel vacancy with recruiter supply, but frontier lab defaults to B.",Investigates cyber threats against and via models.,80k-orgpage
B,cyber-offensive,259000,"Red Team Specialist, Cyber",OpenAI,"San Francisco, USA",mid,$198-320k,permanent,,,"Offensive-security vacancy with deep recruiter supply, but frontier lab defaults to B.",Cyber red-teaming of OpenAI models and systems.,80k-orgpage
B,ai-research,259000,Frontier AI Risks Lead,OpenAI,"San Francisco, USA",mid,$198-320k,permanent,,,"Quasi-technical risk research lead above the salary bar, but frontier lab defaults to B.",Leads frontier AI risk assessment work.,80k-orgpage
B,ai-research,253500,"Research Scientist, Frontier Safety Framework Risk Modelling and Governance",Google DeepMind,"New York, NY, USALondon, UKSan Francisco Bay Area, USA",Junior (1–4 years experience),"$207,000 – $300,000",Full-time,26 August 2026,"Research, Strategy","frontier lab - in-house talent teams, agency-selective",Lead governance research and risk modeling for the Frontier Safety Framework addressing severe frontier AI risks.,aisafety.com+80k-orgpage
B,ai-research,253500,"Research Scientist, Safety Oversight",Google DeepMind,"San Francisco Bay Area, USA","Junior (1–4 years experience), Mid (5–9 years experience)","$207,000 – $300,000",Full-time,20 August 2026,"Research, Software engineering","frontier lab - in-house talent teams, agency-selective",Build systems to detect AI model misbehavior and misuse in production to ensure safe deployment.,aisafety.com+80k-orgpage
B,cyber-offensive,250000,"Safeguards Enforcement Analyst, Safety Evaluations",Anthropic,"San Francisco Bay Area, USA",mid,$230-270k,permanent,,,Real well-paid vacancy but thin trust-and-safety market and frontier lab default to B.,Enforcement analyst running safety evaluations.,80k-orgpage
B,nonprofit-ops-exec,247500,Chief Operating Officer / Director of Operations,Longview Philanthropy,"London, UK",executive,$165-330k,permanent,,,"Would be a textbook A (executive nonprofit ops at $247.5k midpoint) but the 6 September closing date is only 5 days out, inside the ~10-day deadline rule.",Executive operations leader (COO/Director of Operations) for a philanthropy advisory firm.,80k-orgpage
B,ai-research,213000,"Research Engineer, AGI Safety and Alignment",Google DeepMind,"San Francisco Bay Area, USANew York, NY, USA",Junior (1–4 years experience),"$174,000 – $252,000",Full-time,21 August 2026,"Research, Software engineering","frontier lab - in-house talent teams, agency-selective",Conduct research on AGI safety and alignment to reduce existential risks from artificial general intelligence.,aisafety.com+80k-orgpage
B,ai-research,180000,Software Engineer,SecureBio,"Boston metro area, USA",junior,$165-195k,permanent,,,"Salary clears the bar but the role is junior generalist SWE rather than AI-ML research engineering, so torn A/B resolves to B.",Junior software engineer building biosecurity tooling such as detection and screening systems.,80k-orgpage
B,nonprofit-ops-exec,180000,Chief of Staff,Simon Institute for Longterm Governance,"Geneva, Switzerland (remote possible)",senior,118-175k CHF,permanent,,,"Senior nonprofit-ops/exec role with ~$180k midpoint in a real recruiter market, but the posted deadline (21 Aug 2026) has already passed with only rolling review keeping it alive, so the deadline leg pushes it to B.",Senior chief-of-staff role running internal operations and strategy execution for a small Geneva AI-governance think tank.,80k-orgpage
B,nonprofit-ops-exec,180000,"Operations Director, Talent",Secure AI Project,"Remote, USA",senior,$125-235k,permanent,,,"Senior nonprofit-ops role with strong salary and a real recruiter market, but the 26 July 2026 closing date has already passed and the directory shows 0 open roles, so the vacancy may no longer be live.",Director-level operations and talent leadership role at a small AI policy nonprofit.,80k-orgpage
B,nonprofit-ops-exec,165000,Project Manager,SecureBio,"Boston metro area, USA",mid,$145-185k,permanent,,,"Salary clears the bar but generalist project management is a thin function for specialist recruiters, so torn A/B resolves to B.",Mid-level project manager coordinating biosecurity programme delivery.,80k-orgpage
B,none,165000,"Software Engineer, LessWrong",Lightcone Infrastructure,"San Francisco Bay Area, USA (visa sponsorship available)",junior,$150k+,permanent,,,"Real vacancy at $150k+, but it is junior web/product engineering rather than AI-ML research engineering, so it falls outside the desk's proven supply cells.",Junior software engineer building and maintaining the LessWrong forum platform.,80k-orgpage
B,ai-research,162500,Member of Technical Staff,CivAI,"Remote, Global / US (East or West Coast)",mid,$125-200k,permanent,,,"Real vacancy with $162.5k midpoint in AI engineering (standard MTS titling at an AI org), a function with a genuine recruiter supply market, at a fee-open nonprofit.",Engineer building CivAI's live AI-capability demonstration software used to brief policymakers.,80k-orgpage
B,cyber-offensive,157500,"Technical Project Manager, Red Team",FAR AI,"Remote, Global",mid,$125-190k,permanent,,,"Salary clears the bar, but project management rather than hands-on offensive work makes the supply-market leg weak.",Technical project manager coordinating red-team workstreams.,80k-orgpage
B,nonprofit-ops-exec,157500,Program Manager,CivAI,"Remote, Global / US (East or West Coast)",mid,$140-175k,permanent,,,"Salary clears $130k but program management at a small nonprofit sits below the ops-exec tier where recruiters reliably supply candidates, so the function leg is weak.",Program manager running CivAI's policymaker briefing and demo programs.,80k-orgpage
B,comms-marketing,155000,Communications Lead,Simon Institute for Longterm Governance,"Geneva, Switzerland (remote possible)",mid,104-144k CHF,permanent,,,"Comms is a real supply market and midpoint clears ~$130k, but it is a mid-level hands-on lead at a tiny org with its nominal deadline already passed, so torn A/B it goes to B.","Head-of-comms role (60% hands-on writing/editing, 40% comms infrastructure and fundraising support) at a 1-10 person think tank.",80k-orgpage
B,nonprofit-ops-exec,152500,IT Manager,SecureBio,"Boston metro area, USA",mid,$140-165k,permanent,,,"Salary clears the bar but generalist internal-IT management sits outside the desk's proven supply functions, so torn A/B resolves to B.",Manages internal IT systems and infrastructure for the nonprofit.,80k-orgpage
B,nonprofit-ops-exec,150000,Head of Talent / Talent Specialist,Longview Philanthropy,"London, UK",mid,$120-180k,permanent,,,"Salary midpoint clears $130k but in-house talent/recruiting is a thin slice of the ops recruiter market and the level spans junior-mid, so B over A.",Talent/recruiting role building Longview's hiring and talent pipeline.,80k-orgpage
B,nonprofit-ops-exec,145000,Senior Programs and Strategy Manager,FAR AI,"Remote, USA",senior,$115-175k,permanent,,,"Real senior vacancy with adequate salary, but the programmes/fieldbuilding function borders category C's no-market zone, leaving the supply leg weak.",Senior manager for FAR AI's fieldbuilding programmes and strategy.,80k-orgpage
B,biosecurity-science,144500,"Researcher, Built Environment",Blueprint Biosecurity,"Washington, DC metro area, USA (role-level location not shown)",junior,$127-162k,permanent,,,"Salary midpoint clears $130k in biosecurity science, but the role is junior and its listed closing date (7 Aug 2026) has already passed, so it cannot be verified open.","Junior researcher on built-environment interventions (far-UVC, indoor air) for pandemic suppression.",80k-orgpage
B,nonprofit-ops-exec,143500,Recruiter,Coefficient Giving,"Remote, global",unknown,~$131-156k,permanent,,,"Real vacancy just above the salary bar in a thin (rec-to-rec/people-ops) market, and the listed closing date has already passed.",In-house recruiter for the grantmaking organisation.,80k-orgpage
B,biosecurity-science,143500,"Program Officer, Respiratory Protection",Blueprint Biosecurity,"Washington, DC metro area, USA (role-level location not shown)",mid,$122-165k,permanent,,,"Salary midpoint clears $130k in a biosecurity-adjacent function, but the listed closing date (7 Aug 2026) has already passed and the role sits between technical program management and lab science, so it cannot be verified open.",Mid-level program officer driving Blueprint's pandemic-proof respiratory protection (PPE) workstream.,80k-orgpage
B,legal,140000,Regulatory and Legal Policy Expert,Palisade Research,"US (West or East Coast) / Remote, Global",mid,$120-160k,permanent,,,"Salary midpoint clears $130k and regulatory lawyers are a real legal recruitment market, but the role straddles policy work where supply is thin, so it watches rather than works.",Regulatory/legal expert shaping Palisade's positions on AI rules and liability.,80k-orgpage
B,none,137500,Product Designer,CivAI,"Remote, Global / US (East or West Coast)",mid,$125-150k,permanent,,,"Real vacancy with adequate salary, but product design is not one of the desk's proven supply-market functions, making the market leg thin.",Junior-to-mid product designer for CivAI's AI-risk demonstration products.,80k-orgpage
B,nonprofit-ops-exec,137000,Event and Travel Coordinator,Simon Institute for Longterm Governance,"Geneva, Switzerland (remote possible)",junior,83-137k CHF,permanent,,,"Real permanent vacancy in the nonprofit-ops market but junior coordinator-level scope with borderline salary and a passed nominal deadline, so it is a watch not a work-now.","Junior/mid operations role owning logistics, venues, and travel for SI's convenings, paired with the Convenings Lead.",80k-orgpage
B,nonprofit-ops-exec,132500,"Senior Project Manager, Events",FAR AI,"Remote, USA",mid,$115-150k,permanent,,,Salary midpoint barely clears the bar and events project management is a thin recruiter market for this desk.,Senior project manager running FAR AI's events and workshops.,80k-orgpage
B,nonprofit-ops-exec,132000,Events Lead,Epoch AI,"Remote, Global",junior,~$123-141k,permanent,,,Real vacancy at roughly a $132k midpoint but junior and in an events niche where the recruiter market is thin.,Lead for planning and running Epoch's events programme.,80k-orgpage
B,nonprofit-ops-exec,130000,Logistics Manager,SecureBio,"Boston metro area, USA",junior,$116-144k,permanent,,,Real vacancy at roughly the salary threshold but junior and logistics is a thin recruiter function.,Manages logistics for sampling and lab operations (likely NAO field programme).,80k-orgpage
B,nonprofit-ops-exec,129000,Operations Generalist,Constellation,"San Francisco Bay Area, USA",Mid (5–9 years experience),"$100,000 – $158,000",Full-time,1 September 2026,Operations,"real vacancy but $129,000 mid is under the fee bar","Support the research center by managing capacity planning, office space allocation, and operations improvements.",aisafety.com+80k-orgpage
B,ai-research,127500,"Research Manager, Talent Development Team",GovAI,"Washington, DC metro area, USA","Junior (1–4 years experience), Mid (5–9 years experience)","$105,000 – $150,000",Full-time,24 August 2026,"Operations, Management, Research","real vacancy but $127,500 mid is under the fee bar","Manage around 10 Seasonal Fellows per cohort, supporting their research projects and career development.",aisafety.com+80k-orgpage
B,nonprofit-ops-exec,125500,"Manager / Associate / Senior Associate, Special Projects",Institute forAI Policy and Strategy,"Washington, DC metro area, USASan Francisco Bay Area, USALondon, UK","Junior (1–4 years experience), Mid (5–9 years experience)","$86,000 – $165,000",Full-time,12 August 2026,"Strategy, Policy, Operations, Management","real vacancy but $125,500 mid is under the fee bar",Turn loosely scoped ideas into executed programs that expand IAPS's AI policy portfolio.,aisafety.com
